Start date;Start time;End date;End time;Duration
30/04/2023;01:33:43;30/04/2023;10:09:03;08:35:20
01/05/2023;01:40:02;01/05/2023;10:48:13;09:08:11
02/05/2023;02:30:51;02/05/2023;08:28:03;05:57:12
03/05/2023;03:37:16;03/05/2023;09:20:06;05:42:50
03/05/2023;17:26:23;03/05/2023;17:55:38;00:29:15
03/05/2023;23:50:34;04/05/2023;08:49:23;08:58:49
04/05/2023;17:57:30;04/05/2023;18:31:38;00:34:08
05/05/2023;01:09:57;05/05/2023;07:24:30;06:14:33
05/05/2023;20:22:39;05/05/2023;20:50:33;00:27:54
06/05/2023;03:15:55;06/05/2023;11:12:55;07:57:00
07/05/2023;02:22:14;07/05/2023;09:02:44;06:40:30
07/05/2023;09:10:46;07/05/2023;11:00:00;01:49:14
08/05/2023;03:13:21;08/05/2023;07:20:03;04:06:42
08/05/2023;07:25:45;08/05/2023;08:55:39;01:29:54
09/05/2023;01:32:06;09/05/2023;06:33:17;05:01:11
09/05/2023;06:46:31;09/05/2023;08:00:49;01:14:18
09/05/2023;08:05:45;09/05/2023;09:01:53;00:56:08
10/05/2023;00:04:08;10/05/2023;05:53:30;05:49:22
10/05/2023;06:07:14;10/05/2023;06:58:55;00:51:41
10/05/2023;07:04:14;10/05/2023;09:01:37;01:57:23
11/05/2023;00:12:35;11/05/2023;03:07:33;02:54:58
11/05/2023;03:53:14;11/05/2023;11:04:10;07:10:56
11/05/2023;23:38:07;12/05/2023;07:04:11;07:26:04
13/05/2023;03:45:21;13/05/2023;10:51:51;07:06:30
14/05/2023;02:22:47;14/05/2023;11:05:59;08:43:12
15/05/2023;00:24:41;15/05/2023;08:58:00;08:33:19
15/05/2023;14:48:38;15/05/2023;14:59:59;00:11:21
15/05/2023;15:00:00;15/05/2023;15:06:28;00:06:28
16/05/2023;01:48:56;16/05/2023;07:20:00;05:31:04
17/05/2023;03:00:48;17/05/2023;12:28:03;09:27:15
18/05/2023;02:02:34;18/05/2023;09:45:57;07:43:23
19/05/2023;02:20:09;19/05/2023;07:40:38;05:20:29
19/05/2023;07:40:40;19/05/2023;08:59:55;01:19:15
20/05/2023;01:48:20;20/05/2023;11:02:01;09:13:41
21/05/2023;02:02:39;21/05/2023;10:01:09;07:58:30
22/05/2023;01:47:29;22/05/2023;07:51:55;06:04:26
23/05/2023;00:24:40;23/05/2023;07:00:22;06:35:42
24/05/2023;01:42:11;24/05/2023;07:43:01;06:00:50
24/05/2023;23:51:10;25/05/2023;08:56:02;09:04:52
26/05/2023;01:41:13;26/05/2023;07:55:29;06:14:16
26/05/2023;17:44:35;26/05/2023;20:05:02;02:20:27
27/05/2023;05:16:59;27/05/2023;09:21:31;04:04:32
28/05/2023;01:57:26;28/05/2023;07:00:39;05:03:13
29/05/2023;00:35:08;29/05/2023;09:31:25;08:56:17
30/05/2023;01:17:16;30/05/2023;08:39:00;07:21:44
31/05/2023;00:47:35;31/05/2023;08:30:46;07:43:11
01/06/2023;03:02:46;01/06/2023;09:16:38;06:13:52
02/06/2023;04:21:00;02/06/2023;08:17:00;03:56:00
03/06/2023;05:13:25;03/06/2023;11:24:49;06:11:24
04/06/2023;02:22:56;04/06/2023;10:42:11;08:19:15
04/06/2023;23:57:46;05/06/2023;07:06:13;07:08:27
06/06/2023;02:12:54;06/06/2023;08:20:24;06:07:30
07/06/2023;00:23:23;07/06/2023;09:03:49;08:40:26
08/06/2023;04:44:27;08/06/2023;11:01:17;06:16:50
09/06/2023;02:20:00;09/06/2023;09:57:57;07:37:57
09/06/2023;16:47:53;09/06/2023;17:00:19;00:12:26
10/06/2023;02:32:38;10/06/2023;12:40:32;10:07:54
10/06/2023;16:49:15;10/06/2023;18:40:18;01:51:03
11/06/2023;01:18:46;11/06/2023;10:35:59;09:17:13
12/06/2023;00:13:11;12/06/2023;00:39:12;00:26:01
12/06/2023;00:39:14;12/06/2023;07:25:50;06:46:36
13/06/2023;02:17:17;13/06/2023;07:55:59;05:38:42
14/06/2023;02:00:47;14/06/2023;11:37:30;09:36:43
15/06/2023;02:46:15;15/06/2023;09:56:45;07:10:30
16/06/2023;01:36:46;16/06/2023;06:32:36;04:55:50
17/06/2023;06:04:11;17/06/2023;07:59:59;01:55:48
18/06/2023;02:05:23;18/06/2023;09:34:43;07:29:20
19/06/2023;02:46:47;19/06/2023;10:01:51;07:15:04
20/06/2023;00:16:02;20/06/2023;07:05:28;06:49:26
20/06/2023;23:25:21;21/06/2023;06:47:21;07:22:00
21/06/2023;16:10:52;21/06/2023;17:58:28;01:47:36
22/06/2023;02:14:10;22/06/2023;07:05:37;04:51:27
22/06/2023;07:05:38;22/06/2023;07:27:19;00:21:41
23/06/2023;01:52:51;23/06/2023;07:32:08;05:39:17
23/06/2023;12:31:15;23/06/2023;13:36:00;01:04:45
23/06/2023;23:01:17;24/06/2023;10:10:45;11:09:28
25/06/2023;05:29:50;25/06/2023;10:12:43;04:42:53
26/06/2023;05:23:47;26/06/2023;08:04:41;02:40:54
26/06/2023;22:59:13;27/06/2023;09:36:04;10:36:51
28/06/2023;00:21:29;28/06/2023;08:46:08;08:24:39
28/06/2023;19:56:15;28/06/2023;20:30:29;00:34:14
29/06/2023;01:52:21;29/06/2023;08:08:17;06:15:56
